term	file	line
GO:0047780	ec2go	EC:4.2.1.3 > GO:citrate dehydratase activity ; GO:0047780
GO:0047780	rhea2go	RHEA:10228 > GO:citrate dehydratase activity ; GO:0047780
GO:0047780	metacyc2go	MetaCyc:ACONITATEDEHYDR-RXN > GO:citrate dehydratase activity ; GO:0047780
GO:0047780	kegg_reaction2go	KEGG_REACTION:R01325 > GO:citrate dehydratase activity ; GO:0047780
GO:0052633	rhea2go	RHEA:22144 > GO:isocitrate hydro-lyase (cis-aconitate-forming) activity ; GO:0052633
GO:0052633	metacyc2go	MetaCyc:ACONITATEHYDR-RXN > GO:isocitrate hydro-lyase (cis-aconitate-forming) activity ; GO:0052633
GO:0052633	kegg_reaction2go	KEGG_REACTION:R01900 > GO:isocitrate hydro-lyase (cis-aconitate-forming) activity ; GO:0052633
