term	file	line
GO:0008785	hamap2go	HAMAP:MF_01676 > GO:alkyl hydroperoxide reductase activity ; GO:0008785
GO:0008785	interpro2go	InterPro:IPR012081 Alkyl hydroperoxide reductase subunit F > GO:alkyl hydroperoxide reductase activity ; GO:0008785
GO:0008785	unirule2go	UniRule:UR000084072 > GO:alkyl hydroperoxide reductase activity ; GO:0008785
GO:0008785	reactome2go	Reactome:R-HSA-1222526 > GO:alkyl hydroperoxide reductase activity ; GO:0008785
GO:0102039	ec2go	EC:1.11.1.26 > GO:NADH-dependent peroxiredoxin activity ; GO:0102039
GO:0102039	metacyc2go	MetaCyc:R4-RXN > GO:NADH-dependent peroxiredoxin activity ; GO:0102039
GO:0102039	rhea2go	RHEA:62628 > GO:NADH-dependent peroxiredoxin activity ; GO:0102039
